සෙල්ලිපි අංකය,අක්ෂර පරිවර්තනය,පරිවර්තනය
477,පරුමක-වෙල-පුත පරුමක-උතරශ ලෙණ‌ෙ,ප්‍රමුඛ වෙලගෙ පුත් වන ප්‍රමුඛ උත්තරගේ ලෙණ‌.
478,[1] මිත-තෙරහ පිතශ උපශක ශිවශ ලෙණ‌ෙ,මිත්ත තෙරුණ්ගේ පියාණන් වන උපාසක සිවගේ ලෙණ‌.
479,[2] ගමික වණ-තිශහ,ගම් ප්‍රධානි වණ-තිස්සගේ.
480,(1) දිගවපි-ප[ඔ]රණ වණිඣන.......... ය පුතන බරියය(2) දමෙඩ-තිශහ ලෙ[ණ‌ෙ],.............ගේ සහ භාර්යාව තිස්සාගේ; ද්‍රවිඩ පුතුන් වන දීඝවාපී වැසි වෙළෙඳුන්ගේ ලෙණ‌.
481,[1] උපසක තනක-වෙලු දනෙ,"පාලක,උපාසක වෙලුගේ [ලෙන] පරිත්‍යාග කරන ලදී."
482,[2] තිශ-ශමණිය ලෙණ‌ෙ,තිස්සා තෙරණියගේ ලෙණ‌.
483,[3] මහතිශ ............ ශමණිය ලෙණ‌ෙ ශගශ,මහතිස්සා........... ශ්‍රමණියගේ ලෙණ‌ සංඝයාට [දෙන ලදී].
484,[1] ගපති-දි[ග]-නගුලිය ලෙණ‌ෙ,ගෘහපති දිග නගුලිගේ ලෙණ‌.
485,[2] ගපති-ශමුද-පුත බෙණ-ශමුදශ ලෙණ‌ෙ,ගෘහපති සමුද්දගේ පුත් වන බෙණ-සමුදගේ ලෙණ‌.
486,[3] ගපති-පුත තිශ-පුතන දො-බතිකන ලෙණ‌ෙ ගොතම නම සමණ‌ෙ කරපිතෙ,ගෘහපති තිස්සගේ පුතුන් වන දෙසොහොයුරන්ගේ ලෙණ‌. ගොතම තෙරුණ් විසින් කරවන ලද්දා වූ.
487,(1) දස-භතික-රන [ඣ]වක-නය උපරඣ-නග උපරඣ-නගහ මරුමකනකෙ මහ-[ප]සඪිකෙ-අභය රඣහ පුතෙ(2) ගමණි-[ති]සහ විහරෙ(3) අගත-අනගත-භිකු-සගස නියතෙ,"දසබෑරජුන්ගේ ජාවක නායකයා වූ උපරාජ නාගගේ මුණුපුරු, මහා[ප]සඪික අභය රජුගේ පුත් වන ගාමණී තිස්සගේ විහාරය පැමිණියාවූත් නොපැමිණියාවූත් සංඝයාට පවරා දෙන ලදී."
488,[1] පරුමක-වරලි-පුතහ උපශක-උතිය ලෙණ‌ෙ,ප්‍රමුඛ වරලිගේ පුත් වන උපාසක උත්තියගේ ලෙණ‌.
489,[2] ............ කශ ලෙණ‌ෙ,...........කගේ ලෙණ‌.
490,දනුගය-චුලශ ලෙණ‌ෙ,දුනුවායා චලුගේ ලෙණ‌.
491,[1] උපශක-ශොණහ ලෙණ‌ෙ,උපාසක සොණගේ ලෙණ‌.
492,[2] පරුමක-නමර-පුත-පුශහ,ප්‍රමුඛ නමරගේ පුත් වන ඵුස්සගේ ලෙණ‌.
493,[3] බත-දමගුතහ ලෙණ‌ෙ,ප්‍රධානි ධම්මගුත්තගේ ලෙණ‌.
494,අති-අචරිය-ගමණි-පදුම-පුත-පදුමගුතශ පියදශනෙ නම ලෙණ‌ෙ ශගයෙ නියතෙ (සංකේත අංක29සහ30),ප්‍රධාන ඇත් ඇඳුරු පදුමගේ පුත් වන පදුමගුත්තගේ පියදස්සන නම් ලෙණ‌ සංඝයාට පවරා දෙන ලදී.
495,පරුමක-තිශ-පුත පරුමකඅදිලිය ලෙණ‌ෙ ශගශ,ප්‍රමුඛ තිස්සගේ පුත් වන ප්‍රමුඛ අදිලිගේ ලෙණ‌ සංඝයාට [දෙන ලදී].
496,[1] පරුමක-ශුමන-පුතශ තිශශ ලෙණ‌ෙ,ප්‍රමුඛ සුමනගේ පුත් වන තිස්සගේ ලෙණ‌.
497,[2] පරුමක-මිත-පුත පරුමක-රකිය ලෙණ‌ෙ ශගශ,ප්‍රමුඛ මිත්තගේ පුත් වන ප්‍රමුඛ රකිගේ ලෙණ‌ සංඝයාට [දෙන ලදී].
498,[1] (සංකේත අංක18) පරුමක-නදික-පුතශ පරුමක-මිතශ ලෙණ‌ෙ මහශුදශනෙ ශගශ දිනෙ,ප්‍රමුඛ නන්දිකගේ පුත් වන ප්‍රමුඛ මිත්තගේ මහාසුදස්සන [නම්] ලෙණ‌ සංඝයාට පරිත්‍යාග කරන ලදී.
499,[2] බත-පුශගුතශ ය ලෙණ‌ෙ මනපද[ශ]නෙ ලෙණ‌ෙ ශගශ දිනෙ,"ප්‍රධානි ඵුස්සගුත්තගේ ලෙණ‌, මනාපදස්සන [නම්] ලෙණ‌, සංඝයාට [දෙන ලදී]."
500,[3] ගමික-නග-පුතෙ ගමික-තිශ කරපිතෙ ඉම ලෙණ‌ සෙනපති ඣුවය ශගශ දිනෙ,ගම් ප්‍රධානි නාගගේ පුත් වන ගම් ප්‍රධානි තිස්ස විසින් කරවන ලද මෙම ලෙණ‌ සෙන්පති ඣුවය සංඝයාට පරිත්‍යාග කරන ලදී.
501,[4] බත-ශගරකිතශ ලෙණ‌ෙ පටිබන-කුටෙ ශග[ශ] දිනෙ,ප්‍රධානි සංඝරක්ඛිතගේ පටිභාන-කූට නම් ලෙණ‌ සංඝයාට පරිත්‍යාග කරන ලදී.
502,[5] බත-දමගුතශ අටදශ පදගඩිනි,ප්‍රධානි ධම්මගුත්තගේ පියගැටපෙළ දහඅට.
503,[1] [ශු]ඣත-තෙරහ ලෙණ‌ෙ ශගශ,සුජාත තෙරුණ්ගේ ලෙණ‌ සංඝයාට [දෙන ලදී].
504,[2] (1) බත-වෙශහ ලෙණ‌ෙ ශගශ(2) ගමික-ශමුද-පුතහ ගමික අශඩිය ලිණි ගමික-චුඩි-තිශහ ච ගමික-ශුමනහ ච,"ප්‍රමුඛ වෙස්සගේ ලෙණ‌ සංඝයාට [දෙන ලදී]. ගම් ප්‍රධානි සමුද්දගේ පුත් අසඩි ගේ ද ලෙණ‌, ගම් ප්‍රධානි චූළි-තිස්සගේ සහ ගම් ප්‍රධානි සුමනගේ."
505,,
506,[4] මුල(ශො)ම-තෙරශ ලෙණ‌ෙ චතු-දිශ-ශගශ,මූලසොම තෙරුණ්ගේ ලෙණ‌ සතරදෙස සංඝයාට [දෙන ලදී].
507,[5] පරුමක-බතකරක-නග-කුලහ ච ගොති-මතහ ච ලෙණ‌ෙ,
508,[6] තිශගුත-තෙරහ ලෙණ‌ෙ අගත-අනගත-චතු-දිශ-ශගශ දිනෙ,තිස්සගුත්ත තෙරුණ්ගේ ලෙණ‌ පැමිණියාවූත් නොපැමිණියාවූත් සතරදෙස සංඝයාට දෙන ලදී.
509,[7] ශගරකිත-තෙරශ ලෙණ‌ෙ ශුදශනෙ,සංඝරක්ඛිත තෙරුණ්ගේ සුදස්සන [නම්] ලෙණ‌.
510,[8] බත-දිනහ ලෙණ‌ෙ සඝහ,ප්‍රධානි දින්නගේ ලෙණ‌ සංඝයාට [දෙන ලදී].
511,511 [9] බත-ශුමනගුතශ ල‌ෙණ‌ෙ සඝහ,ප්‍රධානි සුමනගුත්තගේ ල‌ෙණ‌ සංඝයාට [දෙන ලදී].
512,512 [10] ශුඣත-තෙරශ බතික තිශදත-තෙරහ ල‌ෙණ‌ෙ ශගශ,සුජාත තෙරුණ්ගේ සහෝදරයා වන තිස්සදත්ත තෙරුණ්ගේ ල‌ෙණ‌ සංඝයාට [දෙන ලදී].
513,513 [11] ගමික-(න)ග-පුත (ය)ශ-තෙරශ ල‌ෙණ‌ෙ ශුදශනෙ [චතු]-දිශ-ශගශ දිනෙ,ගම් ප්‍රධානි නාගගේ පුත් වන යස තෙරුණ්ගේ සුදස්සන [නම්] ල‌ෙණ‌ පැමිණියාවූත් නොපැමිණියාවූත් සතරදෙස සංඝයාට දෙන ලදී.
514,514 [12] ශගශ ල‌ෙණ‌ෙ,සංඝයාගේ ල‌ෙණ‌.
515,515 [13] පරුමක-වණිඣ-තිශහ ල‌ෙණ‌ෙ ශගශ,ප්‍රමුඛ වෙළඳ තිස්සගේ ල‌ෙණ‌ සංඝයාට [දෙන ලදී].
516,516 [14] පරුමක-පුශහ ල‌ෙණ‌ෙ ශගශ,ප්‍රමුඛ ඵුස්සගේ ල‌ෙණ‌ සංඝයාට [දෙන ලදී].
517,517 [15] වෙශලි-තෙරහ ල‌ෙණ‌ෙ,වෙසිලි තෙරුණ්ගේ ල‌ෙණ‌.
518,518 [16] ගපති-ශිවහ ල‌ෙණ‌ෙ චතු-දිශික-ශගශ දිනෙ,ගෘහපති සිවගේ ල‌ෙණ‌ සතරදෙස සංඝයාට දෙන ලදී.
519,519 [17] දමගුත-තෙරහ ල‌ෙණ‌ෙ පිපිලිගු[හ],ධම්මගුත්ත තෙරුණ්ගේ පිප්පලි-ගුහා [නම්] ල‌ෙණ‌.
520,520 [18] තිශගුත-තෙරශ ල‌ෙණ‌ෙ අගත-අනගත-චතු-දිශ-ශගශ දිනෙ,තිස්සගුත්ත තෙරුණ්ගේ ල‌ෙණ‌ පැමිණියාවූත් නොපැමිණියාවූත් සතරදෙස සංඝයාට දෙන ලදී.
521,521 [19] ශුමනශ පුත ශතෙන කරිතෙ මනපදශනෙ ල‌ෙණ‌ෙ,සුමනගේ පුත් වන සාත විසින් කරවන ලද මනාපදසන [නම්] ල‌ෙණ‌.
522,522 [20] බදත-මිතෙන මපිත නගපවත ශෙනශනෙ,ගෞරවණීය මිත්ත විසින් ඉදිකරවන ලද නාගපබ්බත සේනාසනය.
523,523 [1] බත-ශොමදෙව ල‌ෙණ‌ෙ,ප්‍රධානි සොමදෙවගේ ල‌ෙණ‌.
524,524 [2] ගමික-අනුඩිය ච දෙවිය ච ල‌ෙණ‌ෙ,ගම් ප්‍රධානි අනුඩිගේ සහ දෙවිගේ ල‌ෙණ‌.
525,525 [3] වශහ ල‌ෙණ‌ෙ ශගශ,වම්සගේ ල‌ෙණ‌ සංඝයාට [දෙන ලදී].
526,526 [4] (සංකේත අංක 31 සහ 32) ශුමනශ ල‌ෙණ‌ෙ ශගශ,සුමන[ගේ] ල‌ෙණ‌ සංඝයාට [දෙන ලදී].
527,527 [5] ගපති [දු]බල-තිශහ ල‌ෙණ‌ෙ ශගශ නියතෙ,ගෘහපති දුබ්බලතිස්සගේ ල‌ෙණ‌ සංඝයාට පරිත්‍යාග කරන ලදී.
528,528 [6] පරුමක ශුමනශ ල‌ෙණ‌ෙ ශගශ,ප්‍රමුඛ සුමනගේ ල‌ෙණ‌ සංඝයාට [දෙන ලදී].
529,529 [1] අශ-ශිරිගුතහ පරුමක-ශුමහ වෙලුහ තිශහ ල‌ෙණ‌ෙ ශගශ,"ආයුෂ්මන්ත සිරිගුත්තගේ, ප්‍රමුඛ සුම්මගේ, වෙලුගේ සහ තිස්සගේ ල‌ෙණ‌ සංඝයාට [දෙන ලදී]."
530,530 [2] කණියුත-ගමික-අබය-පුත ගමික-ශුමනශ ල‌ෙණ‌ෙ මහශුදශනෙ ශගශ දිනෙ,කණියුතහි (ගම) ගම් ප්‍රධානි අභයගේ පුත් වන ගම් ප්‍රධානි සුමනගේ මහා සුදස්සන නම් ල‌ෙණ‌ සංඝයාට දෙන ලදී.
531,531 [3] (1) පරුමක-ක[ණ]දත-ඣය උපශිකය ල‌ෙණ‌ෙ(2) බත-ශුමන-බුතෙය(3) ශගශ,"ප්‍රමුඛ කණ්හදත්තගේ භාර්යාව වන උපාසිකාවගේ ල‌ෙණ‌ සහ ප්‍රධානි සුමනභූතිගේ,  සංඝයාට දෙන ලදී."
532,532 [4] පරුමක-කණදත-පුතන ල‌ෙණ‌ෙ,ප්‍රමුඛ කණදත්තගේ පුතුන්ගේ ල‌ෙණ‌.
533,533 [5] අශිය-මිතිය බත-ශුමනහ ල‌ෙණ‌ෙ මනපදශනෙ නම ශගශ දිනෙ,ආයුෂ්මන්ත මිතිගේ [සහ] ප්‍රධානි සුමනගේ මනාපදස්සන නම් ල‌ෙණ‌ සංඝයාට දෙන ලදී.
534,534 [6] කණියුත-ගමික ශුමනශ බරියය උපශික-තිශය ල‌ෙණ‌ෙ ශගශ,කණියුතහි ගම් ප්‍රධානි වන සුමනගේ භාර්යාව වන උපාසිකා තිස්සාගේ ල‌ෙණ‌ සංඝයාට [දෙන ලදී].
535,535 [7] (1) ගමික-වශ-පුතනු ගමික තිශ පුශ ගමික-අබහ(2) ශිරිගුත-තෙරහ,"ගම් ප්‍රධානි වම්සගේ පුතුන් වන [නම් වශයෙන්], ගම් ප්‍රධානි තිස්ස, ඵුස්ස සහ ගම් ප්‍රධානි අභය සහ සිරිගුත්ත තේරුණ්ගේ [ල‌ෙණ‌]."
